NewsArticleID,NewsArticleTitle,NewsArticleText,label
113,Asani outer band triggers heavy rainfall in Kolkata,"KOLKATA: Clouds that broke off from the outer band of cyclone Asani triggered heavy rain in Kolkata on Monday morning even as weatherman predicted that the cyclone is likely to start weakening from Tuesday evening as it sails north-northeastward towards Northwest Bay of Bengal off Odisha coast.
It will be reduced to a cyclonic storm from a severe cyclonic storm and subsequently to a cyclonic circulation as it nears the Bangladesh coast.Kolkata, which received received 57.8 mm rain on Monday, is set to receive more showers between Tuesday and Thursday.
Coastal districts of East Midnapore, South and North 24 Parganas, too, could be lashed by moderate to heavy rain till Thursday as the system approaches the coast. Nadia and Howrah, too, may receive rain.
""Strong southeasterly winds are carrying in moisture and clouds from outer band of Asani that triggered the rain on Monday. These clouds will continue to float into south Bengal and Kolkata, triggering light to moderate rain till Thursday,"" said Regional Meteorological Centre director GK Das. He added that system would be reduced to a cyclonic circulation as it heads towards Bangladesh coast and will cease to have an impact from May 13.
While several parts of south Kolkata received heavy rainfall, some north Kolkata areas received lighter rain.
Ballygunge, Topsia, Southern Avenue, Park Circus, Bhowanipore, Mominpore, Jodhpur Park, Lake Gardens, Golf Green received over 50 mm rainfall in one and half hours from 9 am. During the same period, north Kolkata areas such as Paikpara, Cossipore, Maniktala, Kankurgachhi, Bidhan Sarani, Chitpore received less rain.
The KMC drainage department used heavy duty pumps at major drainage pumping stations to drain out water from flooded streets.
Traffic movement in the morning was hit in large parts of Kolkata due to waterlogging. Parts of south and central Kolkata were hit more severely than other parts.
Cops said waterlogging slowed down traffic considerably at the MG Road-CR Avenue crossing, Hastings Crossing and the Vidyasagar Setu crossing along with the Park Circus connector.
Large parts of Salt Lake and New Town were left waterlogged.
The service road stretch at the Haldiram junction off VIP Road was waterlogged. Bidhannagar Municpal Corporation officials said they had kept all standby pumps ready.",1
114,Government of Telangana signs a Digital State Partnership MoU with Mastercard to accelerate digitization in the State,"In line with its vision of a Digital Telangana, The Government of Telangana has signed a Memorandum of Understanding (MoU) with Mastercard to formalize a Digital State Partnership aimed at delivering world-class solutions that contribute to the rapid digitization of the state’s citizen services, with a focus on small and medium-sized businesses (SMBs) and farmers. The MoU was announced at the World Economic Forum in Davos in the presence of Shri. KT Rama Rao, Honourable Minister for ITE&C, Municipal Administration & Urban Development, and Industries & Commerce, Telangana and Michael Froman, Vice Chairman and President, Strategic Growth, Mastercard.

As part of this Digital State Partnership, Mastercard will collaborate with the state on priority areas including, but not limited to disbursements, digitization of agricultural supply chains, cybersecurity, and digital literacy.

The solutions are aimed at supporting disbursements in the state, building capacity among SMBs and enabling farmers to increase their incomes.

Shri. KT Rama Rao, Hon’ble Minister for ITE&C, Municipal Administration & Urban Development, and Industries & Commerce, Telangana, said, “As part of our vision of a Digital Telangana, we are excited to see the interest from global corporations. I am very happy to announce that we are partnering with Mastercard to further strengthen the ongoing efforts in the state by developing solutions to drive digitization. The collaboration will help the state bring better citizen experiences across the governance value chain, improve financial literacy and inclusion as well as bring higher efficiencies in services including disbursements of welfare schemes and payment solutions.”

“Mastercard is committed to contributing to a more inclusive, sustainable world, where the digital economy works for everyone, everywhere. The company has been working with governments around the world and leveraging the power of technology to expand financial and digital inclusion. Mastercard looks forward to working with the Government of Telangana on initiatives to accelerate digitization and positive change in the lives of its citizens and SMBs,” said Michael Froman, Vice Chairman and President, Strategic Growth, Mastercard.

Thanking the government for the partnership, Nikhil Sahni, Country Corporate Officer, India and Division President, South Asia, Mastercard, said, “Mastercard is honored to have the opportunity to participate in the state government’s agenda to deliver world-class solutions in areas such as agriculture, cybersecurity and tourism within the state.”

Mastercard has been driving a number of partnerships and initiatives as part of its commitment to driving financial inclusion by supporting small businesses to go digital, enabling growth through access to credit, supporting women entrepreneurs, collaborating with corporates to develop solutions for cyber fraud, and transit amongst others.",1
115,"Vegetable prices go up in Chandigarh, respite ahead","With the recent rain spells, prices of vegetables have soared at apni mandis in Chandigarh. However,
with change in weather, the prices are expected to come down in the coming days.“While light rain in January is good for the crops, when there is heavy rain and fast winds, crops get
damaged,” says Harpreet Singh, who is a mandi supervisor with the Punjab Mandi Board.
“Vegetables like green chillies have got damaged, leading to limited supply and increase in their
prices.”
Green chillies were available for ?60 per kilogram on February 7, as compared to ?50 three weeks
back. Though even the potato crop was damaged due to rain, its price remains unchanged at ?15 per
kilogram.
Even tomatoes are available at the same price of ?40 per kilogram, but the price of another staple
vegetable onion has seen a rise from ?35 to ?40 in the past three weeks.
According to Singh, the onion prices have gone up owing to issues in transportation. It has also led to
a rise of around ?20 per kg in prices of apples coming to the city from Himachal Pradesh.Meanwhile, rain spells have also led to a rise in prices of cauliflower, from ?40 to ?50. According to
mandi officials, the prices are likely to come down as weather improves further in the region.",1
116,"Nutrients, plankton due to heavy rains cause bioluminescence in Chennai beaches: NCCR study","Low wind speeds, lower atmospheric temperatures, higher rainfall and lower sea surface temperatures are cited as possible environmental signs.
Low wind speeds, lower atmospheric temperatures, higher rainfall and lower sea surface temperatures are cited as possible environmental signs.
It is almost August, and probably, the time for heavy rains and blooms along the beaches in Chennai.

Adequate nutrients brought in by ample rainfall and high abundance of plankton, called diatom Thalassiosira sp. bloom trigger (bioluminescent) noctiluca scintillonsAccording to a study conducted by the National Center for Coastal Research (NCCR).

Plankton is available in the ocean and due to the available nutrition, it will multiply and bloom. The report cited low wind speeds, lower atmospheric temperatures, higher rainfall and lower sea surface temperatures as possible environmental signs, the report said.

Local hydrodynamics and diverging currents modulate the appearance and dispersal of a sudden outbreak of bioluminescent dinoflagellate noctiluca scintillons bloom in the field.

The paper, which was authored by Pravakar Mishra, Mahmuda Begum, Anita Gera and others and recently published in the scientific journal oceanographyThe blooming event focuses on a 16-km stretch after heavy rains in August 2019.

During this period, when the team took physical samples from beaches including Marina, Elliots, Panayurkuppam, and Kovalam, wind speeds were 5 m/s low, temperatures dropped, a day high rainfall was recorded, and the sea surface The temperature was low. ,

density of noctiluca scintillons Varying from 1,000 cells/l to 19,000 cells/l, with a typical distribution pattern. abundance cintillons Panaiyurkuppam and Kovalam were recorded with 19,000 cel/l and 18,000 cel/l respectively.

The paper explained that once the bloom subsides, there is an increase in the bacterial population associated with the phyto-plankton bloom. The lowest count was recorded at Panayurkuppam beach and the highest at Elliot’s beach. Total coliform was also recorded in waves.

Bioluminescence observed due to turbulence and rapid wave break in the surf zone, which stimulates bioluminescence noctiluca scintillons cells. Within two days after bioluminescence appeared, bloom cells gradually degenerated and moved away from the stream, and finally declined.",1
200,Govt to decide on raising sugar export quota in March after assessing output estimate: Food Secretary,"The government will take a call next month on increasing the sugar export quota from the present 60 lakh tonnes for the current marketing year after assessing the domestic production, Food Secretary Sanjeev Chopra said on Wednesday. The food ministry has allowed 60 lakh tonnes of sugar exports for the current 2022-23 marketing year (October-September), which is expected to see a drop in the sugar production. India exported a record 110 lakh tonnes of sugar in the previous year.

""We have not yet taken a call. we are closely monitoring the production and we would take a call may be in March depending on what the final figures of anticipated production are,"" Chopra told reporters here when asked whether the government will hike the sugar export quota.

He said the sugar production is estimated to be lower in the 2022-23 marketing year because of bad weather in some producing states.

Recently, Indian Sugar Mills Association (ISMA) said that sugar production is estimated to fall 5 per cent in the current marketing year to 340 lakh tonnes as more quantity of sugarcane juice is being diverted for the production of ethanol.

Sugar production stood at 358 lakh tonnes in the 2021-22 marketing year.

There will be an estimated diversion of 45 lakh tonnes of sweetener towards ethanol manufacturing. Sugarcane juice/syrup and B-molasses are being diverted to ethanol making.

In the previous 2021-22 marketing year, 32 lakh tonnes of sweetener was diverted towards manufacturing of ethanol for blending with petrol.

The actual sugar production in Maharashtra is estimated to decline to 121 lakh tonnes in 2022-23 from 137 lakh tonnes in the previous year. Uttar Pradesh will see a marginal decline to 101 lakh tonnes from 102 lakh tonnes, while Karnataka may witness a decline to 56 lakh tonnes from 60 lakh tonnes.

In the first four months of 2022-23, ISMA has reported that the country's sugar production rose 3.42 per cent to 193.5 lakh tonnes.

India has exported 27.83 lakh tonnes of sugar till February 9 of the ongoing 2022-23 marketing year, with Bangladesh and Indonesia being the top markets, trade body All India Sugar Trade Association (AISTA) said recently.

Mills have contracted to export almost the entire 60 lakh tonnes of sugar that have been permitted by the government.",0
201,Wheat output seen rising 5%,"Wheat production for the kharif season (July to June) 2022-23 is expected to rise 5% year-on-year to 112.18 million tonnes (MT), according to the second advance estimate released by the ministry of agriculture on Tuesday.

The production of rice is expected to increase marginally to 130.83 MT. India's overall production of foodgrains is estimated to be 322.55 MT, with an expected record production of rice, wheat, maize, gram, pulses, rapeseed and mustard. The production of millets is expected to be 52.72 MT, 1.625 MT more than last year's output, while that of maize is expected to be 34.61 MT, 8.83 MT more than last year's 33.730 MT.

Production of pulses during 2022-23 is seen at 27.810 MT, 0.508MT more than last year's 27.3 MT and 3.154 MT more than the last five years' average production.",0
202,Wheat production estimated to touch new record of 112.18 million tonnes in 2022-23 crop year: Govt,"The country's wheat production is expected to touch a new record of 112.18 million tonnes in the 2022-23 crop year (July-June), according to the agriculture ministry's latest estimate. Wheat production had declined marginally to 107.74 million tonnes in the previous year due to heat wave in some states.

The previous record in wheat production was 109.59 million tonnes in 2020-21 crop year.

Wheat is a major rabi crop.

As per the second estimate of foodgrains production released by the agriculture ministry, wheat production is estimated to be 112.18 million tonnes in the 2022-23 crop year, higher by 4.40 million tonnes from the previous year.

Total area planted with wheat crop has risen by only 1.39 lakh hectares to 343.23 lakh hectares (ha) in the rabi season of the 2022-23 crop year (July-June) from the year-ago period, but the crop yields are expected to be better due to good weather conditions.

Wheat has already started arriving in Madhya Pradesh, one of the major wheat growing states in the country.

Total foodgrain production is also estimated to touch a record of 323.55 million tonnes in the 2022-23 crop year, higher by 7.93 million tonnes from the previous year.",0
203,"Drone use not limited to pesticide spraying; tremendous scope in organic, natural farming too: Govt","Union minister of civil aviation on Tuesday said the applicability of drone in the agriculture sector is beyond pesticide spraying and has tremendous scope in organic and natural farming as well. Drone industry in India has grown 6-8 times in the last one-and-a-half years. The drone infrastructure set up in the country is ""extremely robust"" and an Indian case study of drones as pioneer in agriculture will be exhibited in the ongoing meeting of G20 agriculture working group.

India's aim is to become a global hub for drones by 2030, for which an industry friendly policy including the Production Linked Incentive Scheme (PLI) is in place, he added.

Addressing the media on the sidelines of the first G-20 Agriculture Deputies Meeting here, the Union minister said: ""Don't look at drones through narrow lines. The versatility and diversity of the application of using drones as service is vast.""

The use of drones in agriculture should not be limited to pesticide spraying. It can be used in cadastral mapping and survey of agriculture land, he said.

""The area of drone application for jaivik kheti (organic farming) is also tremendous. ...Even in natural farming, there is tremendous scope for application of drones,"" Scindia noted.

As organic farming sees an organic growth, there will surely be the movement of drone application, he added.

The government is promoting organic and natural farming in a big way to reduce use of chemical fertilisers and save mother earth. Madhya Pradesh is currently leading in organic farming.

Currently, drones in agriculture are permitted only for pesticides spraying.

Asserting that many more applications will continue to emerge in future, the Union minister said there are multiple uses of drones. ""I think as volumes grow, versatility will also grow.""

He mentioned that the prime minister has been clear in determination that India can no longer be a follower and the country must be a leader in unexplored areas in the world. Drone is one such area.

For achieving the aim of becoming a global hub for drones by 2030, the government has adopted a three-pronged approach, he said.

Firstly, the government has put in place a robust policy doing away with some cumbersome rules and brought in ease of doing business. In a short span, digital mapping of drones has been done in the country into red, green and yellow zones.

Secondly, the government has come out with the PLI scheme for promotion of the drone industry. ""For the first time, the PLI scheme was brought about for industry which was in a nascent stage,"" he said.

The PLI scheme for drone industry encompasses close to Rs 120 crore incentive for industry whose size in 2021 was only Rs 60 crore, he added

The minister further said the PLI scheme has yielded ""very good results"" as many companies have registered and the size of the industry has grown 6-8 times in the last one-and-a-half years.

Thirdly, the government is creating demand for drones and earmarked 12 ministries including agriculture for mandatory use of drone technology, he added.

The three-day event of the first G20 Agriculture Deputies Meeting of the Agriculture Working Group (AWG) will conclude on February 15.

It deliberated on four key priority areas: food security and nutrition; sustainable agriculture with climate smart approach; inclusive agriculture value chain and food supply system; and digitisation of agriculture transformation.",0
204,India appeals to G20 nations to adopt '3S' formula in agriculture for tackling food security concerns,"India on Tuesday called on G20 nations to adopt '3S' strategy - Smart, Sustainable and Serve - for the agriculture ecosystem in order to address the global food security concerns. Addressing media on the sidelines of the first G20 Agriculture Deputies' Meeting, Union Minister Jyotiraditya Scindia said agriculture for India has always been a priority and for the world it has fully come to the fore now.

""Our thinking is we have to adopt 3S strategy for the agriculture ecosystem to make a mark on the world food system,"" Scindia said.

The 3S strategy is 'smart' and 'sustainable' agriculture which should 'serve' all, he said. For smart agriculture, Scindia emphasised on adopting drone and other new technologies for increasing the crop yield.

For sustainable agriculture, farmers should focus on achieving higher yields, use better inputs besides focusing on advanced technologies and marketing, he said.

Stating that India has made a significant progress in agriculture, the minister said it is the top nation in the world in milk production, second in vegetables and fruits and third in foodgrains production.

India's foodgrains output has risen from 265 million tonne to 315 million tonne in the last eight years. The budgetary outlay for the farm sector has been increased by four-and-half times to USD 10.5 billion (around Rs 86,700 crore) in the last eight years, he added.

Scindia, the union minister for civil aviation and steel, also mentioned that his home state Madhya Pradesh too has made a significant progress in the farm sector and is a major producer of soya and garlic.

The state's foodgrains output increased almost 4 times to 629 lakh tonne from 165 lakh tonne in last 18 years. Irrigation has improved by 50 per cent in the state, he said.

""Based on the outcome of the discussion, India and G-20 nations will provide a new road map for agriculture to the world,"" he added.

The first Agriculture Deputies Meeting of the Agriculture Working Group (AWG) under India's G20 presidency is being held here from February 13-15.

The second day of the meeting will continue deliberations on four key priority areas: food security and nutrition; sustainable agriculture with climate smart approach; inclusive agriculture value chain and food supply system; and digitisation of agriculture transformation.

On the last day of the event on February 15, the delegates will deliberate on key deliverables of the AWG. It will be a technical session with discussions and participation from all members concerned and international organizations.

Next meetings of G20 AWG are likely to be held in Chandigarh, Varanasi and Hyderabad.",0
205,More forest items under MSP scheme likely,"In a major outreach to the tribal community ahead of assembly elections in tribal-dominated states, the Centre may increase the number of minor forest produce (MFP) covered under the minimum support price (MSP) mechanism.

With the emphasis on increasing use of millets, the Modi government is considering inclusion of certain naturally growing millets in Chhattisgarh and Jharkhand. Tribal affairs minister Arjun Munda said, “There are products that are being considered for inclusion like barbatti (string beans) of Sahibganj and certain kinds of millets. When we say millets, we mean not the types that",0
206,"Farmers stare at loss as potato prices halve amid glut in UP, Punjab, Bengal","Potato farmers are staring at a huge loss as prices have crashed to half from a year earlier, amid a glut in production in the major producing states of Uttar Pradesh, West Bengal and Punjab.

Wholesale prices are currently ruling far below the production cost and traders expect prices to remain low this year due to high production.

Sowing of potatoes usually begins in November, while the crop is harvested the following January. Uttar Pradesh, the largest producer of the tuber, has",0
207,Launched: Radio programme on agriculture for students,"Bhagalpur: With the aim to benefit the Bihar Agricultural University (BAU) students, researchers and other stakeholders, the BAU on Sunday launched a unique radio programme on agriculture learning, which has been christened as ‘Radio Revision’ and is stated to be first-of-its-kind in the country.
New BAU vice-chancellor D R Singh, while talking to TNN on Monday, said that ‘Radio Revision’ is conceptualized by the community radio station, 90.8 FM Green, for enhancing students' academic performance and access to agricultural education. The initiative is with the aim to develop state-of-the-art educational facilities at the agriculture university and provide an outcome-oriented learning environment at the BAU, he added.
Singh said the Radio Revision initiative would help students gain agricultural knowledge and prepare for examinations in an effective and efficient manner. It would benefit researchers and other stakeholders too. ""It is a first-of-its-kind initiative in the country wherein an hour-long summary of the topics taught during the academic semesters will be broadcast in the evening hours each day before the examinations,"" said the BAU V-C, adding the programme would be broadcast live besides being available on the Internet.
All interested agricultural students as well as agriculture knowledge seekers across the country can access the programme through Internet radio, added Singh. Bihar’s agriculture minister, Kumar Sarvjeet, visited the campus and lauded the Radio Revision initiative of the BAU.
Director Extension Education (DEE) R K Sohane, talking to mediapersons, also lauded the Radio Revision initiative and called for similar programmes to educate farmers about climate change and its mitigation. In-charge of the community radio station at BAU, Shridhar Patil stated that the radio programme was already serving the needs of farmers, rural women as well as youth, creating awareness on a wide range of topics including health, hygiene, agri-production technologies etc. Radio Revision initiative will serve the educational needs of agricultural students residing in university as well as outside and across the country.",0
208,Agriculture: Crop area shrinks,"Kochi: Despite the hype surrounding agriculture sector, the total cropped area--which was 77% of the total geographical area in 2000- 01---declined to 64.92% in 2021-22, according to the Economic Review. The area under rice cultivation (wetland) decreased to 1.94 lakh hectares showing a decline of 3.9% compared to 2020-21. The production and productivity of rice also registered a decrease of 10.7% and 7.1% over 2020-21.
Compared to 2020-21, the production of all food crops except small millets recorded a decline. The performance of spices except ginger and cardamom too showed a declining trend.tnn",0
209,Agriculture Budget 2023: Agriculture sector needs fresh fodder to improve farmer incomes,"The agriculture sector needs concerted steps in the impending budget to become advanced, competitive, and efficient, improve farmer incomes, and reduce its dependence on subsidies.
To be sure, India remains an agrarian economy. In fiscal 2022, agriculture and allied sectors accounted for 15-16% of the gross value added and employed ~46% of its population.
For the farming community and rural population, allocations under the Ministry of Agriculture and Farmers Welfare, Department of Fertilizers and Ministry of Rural Development are most critical.
The growth in these allocations bears out the focus on the agriculture sector and rural development. While the overall budget has grown at a compound annual growth rate (CAGR) of 11% in the past decade (fiscal 2013 to fiscal 2023), these allocations have increased at a CAGR of ~12%.",0
210,"Agriculture sector sprouts, needs reorientation","Indian agriculture has performed well, recording an average annual growth rate of 4.6% over the last six years, but the sector needs “re-orientation” in the backdrop of certain challenges including adverse impact of climate change, said the economic survey. The other challenges listed include rising input cost, fragmented landholdings, sub-optimal farm mechanisation, low productivity, disguised unemployment and rising input costs.
The survey noted that the agriculture sector has grown by 3% in 2021-22 compared to 3.3% in 2020-21. It said this growth was partly attributable to good monsoon years and partly to various government reforms.
It noted that India has also rapidly emerged as the net exporter of agricultural products. During 2021-22, agricultural exports reached an all-time high of $50.2 billion.
The survey attributes the sector’s growth and buoyancy to the “measures taken by the government to augment crop and livestock productivity, ensure certainty of returns to the farmers through price support (MSP), promote crop diversification” and, focused interventions to “enhance credit availability, facilitate mechanisation and boost horticulture and organic farming”.
It noted that other interventions such as PM-Kisan, strengthening of institutional finance and insurance through the PMFBY and the push given to Kisan Credit Cards (KCC) “have led to sustainable and inclusive development of the sector”.",0
211,Breed competition held at Agriculture Expo in Punjab,"JAGRAON: Milking and breed competitions were held on the second day of the Progressive Dairy Farmers Association (PDFA) annual International Dairy and Agri Expo at Jagraon on Saturday. The three-day annual expo had started on Friday.
On Day Two of the Expo, breed competition were held among Holstein Friesian (HF) Kheeriya Heifer (second semi-final), H.F Heifer Two Teeth, H.F Cow milking (four teeth), Neeli Raavi Kheeriya Heifer, Murrah Kheeriya, Neeli Raavi Heifer Two Teeth and Jersey Cow Heifer Two Teeth.
On day one, breed competitions were held among Holstein Friesian (HF) Kheeriya Heifer, Murrah Heifer Two Teeth, Jersey Cow milking, Neeli Raavi Buffalo milking, H.F Cow Milking (50 kilograms) (first time empty udder), Milking of Murrah (other breed) Buffalo etc. Resham Singh Bhullar, press secretary of PDFA, said that around 600 participants from various parts of the state and from Haryana, Rajasthan and Uttar Pradesh have also come for the Expo.
JAGRAON: He added that for last five years, they have been getting breeding competitions adjudicated by foreign judges as the participants would raise questions on local judges, so this time around as well they have three foreign judges, including two from Canada and one from South Africa.
PDFA office bearer said that this is the sixteenth PDFA expo since 2007 as in 2020, it was not held due to Covid. He added that they have got great response to the expo. Sukhdev Singh, one of the PDFA official, said that among the judges who are present are Marc Comstoi and Cutton MC Neil, both from Canada, and Mathew Cook from South Africa. He added that milking competition results will be known on the last day.
Mathew Cook, a judge, told TOI that while judging Cow breed, they think of a true type of a cow. He added that first and most important is the milk production after that is the conformation of the cow.
Several dairy farmers are proud to be part of the event. Jatinder Kumar of Nawanshahr, who is popular for his name Gurri Jersey, said that there is no other competition like the PDFA event and it is great to participate it. He added that his 20-month-old HF breed Cow with Milk teeth participated in the breeding competition on the first day. Dr Harinder Singh, a veterinarian from Swaddi Kalan area of Ludhiana, said that his HF breed cow was also among the participants .",0
212,Budget 2023 for agriculture: Find resources for more investment in agriculture,"Budget 2023 for agriculture: Finance Minister Nirmala Sitharaman should find more resources in the Union Budget 2023 for investment in agriculture, says Siraj Hussain, former secretary, Ministry of Agriculture, GoI. In an interview with ET, Hussain says that the Agricultural Produce Market Committee (APMCs) need more investment.
Hussain is of the view that the large allocation for PM Kisan Yojana, investments in APMCs are suffering. He feels there is a need for investment in cold chains, storage facilities, backhouses etc. ""The state governments of Punjab and Haryana made investment in modernizing their APMCs. But we have not seen similar investment in other states. So that is on my Budget 2023 wish list,"" Hussain told ET.
Also Read | Budget 2023: Why FM Sitharaman should look to maintain reasonably high but stable GDP growth
Yet another area Hussain wants India Budget 2023 to focus is on a more agile import-export policy. More delegation of power from the Cabinet to an empowered group of ministers is recommended, he says. The aim, says Hussaim, should be that the landed cost of any agricultural commodity is not less than the minimum support price.
On the subject of whether India can be a major agricultural exporter, Hussain said the productivity levels need to go up significantly for that to happen.He said that India has only marginal agricultural surpluses which lead to export restrictions from time to time. ""Last year, the government banned the export of wheat and then non-basmati rice, except boiled rice and organic rice,"" Hussain substantiated.
""The government did the right thing by restricting the export of wheat and rice. And despite this, inflation in wheat is touching 20%. And inflation in rice is touching 10%,"" he said.",0
213,Expert from Netherlands visits Anand Agricultural University,"VADODARA/ANAND: A senior expert from PUM Netherlands visited Anand Agricultural University (AAU) on Tuesday. PUM Netherlands works in 34 countries and has 1,600 in-house experts with in-depth knowledge of their fields to support small and medium enterprises.
Expert from PUM Netherlands Gerrit Brummelman, and local representative from India, Jolly J Kochupurackal, had a meeting with AAU vice-chancellor Dr K B Kathiria. There was an interaction to discuss possible areas of cooperation with PUM Netherlands.",0
214,J&K launches project to promote sustainable agriculture,"Jammu: The Jammu and Kashmir administration on Wednesday announced a project to boost organic food production and increase economic returns for farmers in the union territory.The 'alternate agriculture system for sustainability' project is a part of the government's larger efforts to create a safer, cleaner and more sustainable environment for agriculture and food production in the region, an official spokesman said. pti",0
215,Agriculture accelerator fund a boost for ryots,"BENGALURU: In a boost to agritech startups, an agriculture accelerator fund will be set up to encourage young entrepreneurs in rural areas. The fund will aim to bring innovative and affordable solutions for challenges faced by farmers.
The Economic Survey showed agritech startups have raised around Rs 6,600 crore over the past four years from private equity investors, an annual growth of over 50%. There are over 1,000 agritech startups in India. The Survey also said India has over 500 startups working in the millet value chain space.
Balram Yadav, managing director of Godrej Agrovet, said the budget is a step forward in leveraging technology for improved agriculture in India.
""Educating farmers on the new-age technology and realigning crop planning based on climatic conditions is a necessity and it is herein that digital open infrastructure will play a critical role – improving access to farm inputs as well as intelligence,"" he said. PC Musthafa, CEO & cofounder of iD Fresh, said the proposal to set up the Agriculture Accelerator Fund has the potential to be a huge catalyst for growth.
AI centres of excellence
The finance minister announced an initiative around artificial intelligence (AI) that she called ‘Make AI in India. Make AI for India’. She said three AI centres of excellence will be set up at top educational institutions.
The institutions have not been named. “Leading industry players will partner in conducting interdisciplinary research, develop cutting-edge applications and scalable problem solutions in the areas of agriculture, health, and sustainable cities,” the FM said. The objective is also to develop quality human resources in the field of AI.",0
216,Tribal Woman's Mission To Preserve Millets Praised By PM Modi,"Lahari Bai, who belongs to the Baiga tribe from the Dindori district, has collected over the past decade dozens of varieties of milletsIndore: A 27-year-old tribal woman from Madhya Pradesh is participating in the ongoing G20 Agriculture Working Group meeting here as a millet brand ambassador and has also earned praise from Prime Minister Narendra Modi for her singular focus to preserve the coarse cereals.
Lahari Bai, who belongs to the Baiga tribe from the Dindori district, has collected over the past decade dozens of varieties of millets, described as ‘Shree Anna' in this year's Union BudgetThe year 2023 has been declared by the United Nations as the International Year of the Millet, following a proposal by India, which wants to position itself as a global millet hub. The 3-day Agriculture Working Group meeting began on Monday as part of India's G20 presidency.

“Wherever I go, I look for millet seeds. I have made my seed bank by going from village to village in the past 10 years. It has seeds of about 60 varieties of the coarse grains,” she told PTI.

To preserve her rare collection of millets, Lahari Bai said she also grows the grains, which require much less water compared to rice. Sorghum (jowar), little millet (kutki), foxtail millet (kangni), pearl millet (bajra), and finger millet are among the many varieties found in India.

“I scatter the seeds of 16 types of millets in a field at one go. I deposit the seeds from such crops in my seed bank,” she said.

The tribal woman, who is unmarried and lives with her parents, said she distributes the seeds from her bank to the farmers of about 25 villages in her area to ensure that the coming generations benefit from the nutritious grains.

“It gives me great pleasure to distribute millet seeds. Our ancestors lived healthy and long by eating millets,” she said in her Baiga dialect.Her selfless work has now travelled far and wide. On February 9, PM Modi shared a report on her and tweeted, “We are proud of Lahari Bai who has shown remarkable enthusiasm for coarse grains. Her efforts will inspire many others.” Of the millet types preserved by Lahari Bai, applications have been filed for Geographical Indication (GI) for two little millet varieties, Sitahi and Nagdaman, said Dr Manisha Shyam, who is researching on millets at the Dindori Regional Agriculture Research Station under the Jabalpur-based Jawaharlal Nehru Agricultural University.

“Coarse cereals are very nutritious and had a special place in the Indian food plate. But after Green Revolution started in the country in the 1960s, the use of millets went down and they were replaced by wheat and rice,” she said.

Millets' were among the first crops to be domesticated in India with several evidence of its consumption during the Indus valley civilization. Being grown in more than 130 countries at present, millets are considered traditional food for more than half a billion people across Asia and Africa.",0
217,Centre Planning To Include 21 More Airports Under Krishi Udan: Minister,"Civil Aviation Minister Jyotiraditya Scindia said Krishi Udan, a special flight meant for quick transportation of agricultural produce, has been a huge success.Indore: Civil Aviation Minister Jyotiraditya Scindia on Tuesday said the Krishi Udan scheme has been a huge success and the central government is planning to include additional 21 airports under this.
""At least 31 airports are under the Krishi Udan. We are speaking with MoD (Ministry of Defence) to include another 21 airports under Krishi Udan,"" Jyotiraditya Scindia told reporters while briefing about the second day deliberations of the first G20 Agriculture Deputies Meeting held here.He said Krishi Udan, a special flight meant for quick transportation of agricultural produce, has been a huge success.

Citing examples, he said lemon, jackfruit and grapes grown in the North East are transported not only to other parts of the country but also to other nations like Germany, London, Singapore and the Philippines.",0
218,Silicon Valley Layoffs Blessing For Agricultural Equipment Makers,"Big agricultural and construction equipment manufacturers in the American Midwest are on a mission to lure Silicon Valley tech workers who have been caught up in a wave of hiring freezes and layoffs, executives told Reuters.
Mass layoffs at major tech firms have opened the talent pipeline for Illinois-based Deere & Co. - the world's largest tractor maker - and rivals who are eager to add tech workers to their payrolls as they expand into autonomous tractors, mining trucks, and other smart farming technology.With an abundance of job openings, the companies are offering remote work arrangements and opening new offices in major cities like Austin and Chicago, a potentially attractive draw for workers who don't want to move to smaller Midwestern cities, where many of the companies are based.

The executives said the newly available tech talent could inject much-needed expertise into farm equipment manufacturing, helping to transform the industry through the use of more artificial intelligence and automation.

Detroit automakers are also hiring tech workers to meet the growing software needs of vehicles, auto executives have said.

Historically, it has been difficult for construction and agriculture equipment manufacturers to compete with Silicon Valley compensation packages, Scott Wine, chief executive of CNH Industrial, an American-Italian machinery maker, said in an interview.

""They were sucking so much oxygen out of the air because of their significant budgets,"" Wine said. ""Now, they're not hiring and they're firing - so it just means we're getting a much larger pool of potential candidates that we can call upon.""

CNH hired more than 350 engineers last year, some of whom came from Amazon.com and Microsoft Corp, Wine said. CNH expects to spend more than $1.4 billion in research and development as the company scales precision agriculture offerings in 2023, he added.",0
